"err"	"xerr"	"yerr"	"rep"	"sigma"	"skew"
2.33246604224054	-0.281795544172565	-0.046048042961528	"0"	"0.4"	"0.6"
2.60761255269647	-0.118553702528261	0.015311596016992	"0"	"0.4"	"0.7"
2.32064560396192	0.0918169488282948	-0.131365614564775	"0"	"0.4"	"0.8"
3.10408155089827	-0.729705296975468	0.353616105619699	"0"	"0.4"	"0.9"
1.51557910839181	0.133697133115627	-0.290555745835662	"0"	"0.4"	"0"
1.53980975099456	-0.159914626009239	0.0762995845082347	"0"	"0.4"	"0.6"
2.22907278750489	0.308393117419403	0.0697233892148389	"0"	"0.4"	"0.7"
2.69338471162166	-0.123442810790279	-0.526157472102552	"0"	"0.4"	"0.8"
3.63889848128266	0.483309939330929	-0.691945253699254	"0"	"0.4"	"0.9"
1.29957155372179	0.458893870003788	0.318202424682297	"0"	"0.4"	"0"
2.30623360544259	0.444579991515914	0.11265484347649	"0"	"0.4"	"0.6"
2.38269030322902	0.268198120621791	0.279930705364395	"0"	"0.4"	"0.7"
2.62956638382056	0.940643004618241	-0.411900265033238	"0"	"0.4"	"0.8"
3.2175929615741	0.0854544406596191	0.433751761264644	"0"	"0.4"	"0.9"
1.70591100628566	0.882697840921708	0.0590437027831709	"0"	"0.4"	"0"
1.95049793585283	0.37769347093955	0.311295611666037	"0"	"0.4"	"0.6"
2.35896347174308	0.209589226362691	-0.362362120168418	"0"	"0.4"	"0.7"
2.81669299452755	1.41092259268675	0.225190095448411	"0"	"0.4"	"0.8"
3.04011010108315	0.327113290018402	-0.502977673412345	"0"	"0.4"	"0.9"
1.51090849433308	0.236100567506704	-0.715404549134986	"0"	"0.4"	"0"
1.80843534250857	0.118506603475403	-0.0222212574585247	"0"	"0.4"	"0.6"
2.12400392961257	-0.533631535497565	-0.207811205337749	"0"	"0.4"	"0.7"
2.75664338489357	-0.0236947309201611	0.80735918567136	"0"	"0.4"	"0.8"
3.92253363881656	-0.446380974373343	1.53459685498334	"0"	"0.4"	"0.9"
1.46363328990546	0.082378148755422	-0.536448303414911	"0"	"0.4"	"0"
2.08754141988433	0.126247729943129	0.688694074214844	"0"	"0.4"	"0.6"
2.04343957324241	0.761043761074776	-0.268649957074719	"0"	"0.4"	"0.7"
2.31088854207368	0.436409776707901	-0.21259797366233	"0"	"0.4"	"0.8"
3.48193613955081	0.430675458574565	-0.940470300842667	"0"	"0.4"	"0.9"
1.62326943389776	0.428853178219809	-0.0376339586125834	"0"	"0.4"	"0"
1.87819461316465	0.0190085024449543	-0.034524783199361	"0"	"0.4"	"0.6"
2.25737820543455	-0.00828597847817759	-0.447048915148213	"0"	"0.4"	"0.7"
2.97405979337516	1.45633612693279	-0.0822910567671945	"0"	"0.4"	"0.8"
3.82667543827468	0.651211176200885	-1.06136226105327	"0"	"0.4"	"0.9"
1.69441939801442	0.564801136472497	-0.565359316887763	"0"	"0.4"	"0"
2.06906995072716	0.549278366487991	-0.567709183121673	"0"	"0.4"	"0.6"
2.46818736512634	0.851990770566869	0.331881713244552	"0"	"0.4"	"0.7"
2.73477917656027	0.448387086830827	-0.180652689286967	"0"	"0.4"	"0.8"
3.51683774345483	-0.0665635665929424	0.0215561031334809	"0"	"0.4"	"0.9"
1.69012235968085	0.472442368152139	-0.594217721822942	"0"	"0.4"	"0"
2.43981274083268	0.100836004534018	0.671813480693157	"0"	"0.4"	"0.6"
2.56131873763533	-0.0691608342709621	0.668174073341578	"0"	"0.4"	"0.7"
2.41193779349979	-0.0966418704270157	-0.183495399863868	"0"	"0.4"	"0.8"
2.85547938441002	-0.448230208859702	0.792727117857853	"0"	"0.4"	"0.9"
1.5193703257288	0.00884383709619408	-0.457097547052958	"0"	"0.4"	"0"
1.85968737443724	0.466321244121756	0.65634431245974	"0"	"0.4"	"0.6"
2.04130361293065	0.392711011366611	0.434490357664363	"0"	"0.4"	"0.7"
2.70771815728017	0.299785904018378	0.901231820948228	"0"	"0.4"	"0.8"
3.35863991691746	0.0385189659914107	0.522320701924243	"0"	"0.4"	"0.9"
1.31802174293522	-0.0163123636589331	0.381143635169206	"0"	"0.4"	"0"
1.77961844612067	0.238535701873463	-0.309122568216548	"0"	"0.4"	"."
2.42950032545854	0.0328067603073958	-0.156313526534547	"0"	"0.4"	"."
2.68184017591931	1.00277021284188	0.0488946602667236	"0"	"0.4"	"."
3.46569983354521	0.771687985415276	-0.484347470960108	"0"	"0.4"	"."
1.56992133381792	-0.198493343656158	-0.0130039483521336	"0"	"0.4"	"0"
2.37528831404346	-0.216883669338759	-0.392226035434916	"1"	"0.4"	"0.6"
1.89283223566407	0.357074902521295	0.329553755210145	"1"	"0.4"	"0.7"
2.56179318593211	-0.171506586480331	-0.180189505203689	"1"	"0.4"	"0.8"
3.2870572155894	0.147078039875041	0.153266603581815	"1"	"0.4"	"0.9"
1.95090203565213	0.0178540186638824	-0.0653841028320749	"1"	"0.4"	"0"
2.03993355532916	0.714236173460197	0.371752544445017	"1"	"0.4"	"0.6"
1.88123840886257	0.18773275512545	0.283912519488921	"1"	"0.4"	"0.7"
2.07336565917913	0.402862168760978	0.189696568042539	"1"	"0.4"	"0.8"
3.95926501673537	-1.13619694378618	-0.22967245400191	"1"	"0.4"	"0.9"
1.37112710168146	0.193278588795175	-0.0809452023284418	"1"	"0.4"	"0"
2.37248574041352	-0.150259821190939	1.67406720847326	"1"	"0.4"	"0.6"
2.37078416674767	-0.210754668500791	-0.133093576163747	"1"	"0.4"	"0.7"
2.90940278505386	0.500063697925501	-0.0580285346681632	"1"	"0.4"	"0.8"
3.08981043020076	-1.48814752890337	0.296288779744559	"1"	"0.4"	"0.9"
1.38006986629386	-0.247569785159199	0.247951966930689	"1"	"0.4"	"0"
1.92571994873424	-0.245273398086829	-0.102811511134852	"1"	"0.4"	"0.6"
2.16566352441888	0.127715207649973	-0.169688016981116	"1"	"0.4"	"0.7"
3.25868571038994	0.673534618029225	-1.17631501393707	"1"	"0.4"	"0.8"
3.51171853183615	1.01263786573056	-0.786466226016131	"1"	"0.4"	"0.9"
1.70747665012955	0.498970216919874	-0.503783349671111	"1"	"0.4"	"0"
2.07190918563697	-0.350441554314976	-0.731781345089623	"1"	"0.4"	"0.6"
2.14920627949964	0.425031682859801	-0.788390973872522	"1"	"0.4"	"0.7"
3.43353391683132	0.35224136200053	-0.543580663123847	"1"	"0.4"	"0.8"
3.49165076226249	-0.49689920049937	0.453957207104515	"1"	"0.4"	"0.9"
1.44449345656298	-0.0094056053175431	-0.136097487146079	"1"	"0.4"	"0"
1.8394824154126	0.489265646701156	0.110953002371984	"1"	"0.4"	"0.6"
2.0444280210305	0.30941346294611	0.151484383420206	"1"	"0.4"	"0.7"
2.31648300519634	0.756553399385945	0.847168249806569	"1"	"0.4"	"0.8"
3.37847261248391	0.940755938332865	-0.360651120136606	"1"	"0.4"	"0.9"
1.92613210660277	0.139289333810474	-0.477753419700716	"1"	"0.4"	"0"
2.1013768951836	-0.0284617166107558	0.673240818326829	"1"	"0.4"	"0.6"
2.42716973316577	0.284929877506422	-0.0303644476352187	"1"	"0.4"	"0.7"
2.0656189546918	0.514452182282606	0.198741021055494	"1"	"0.4"	"0.8"
2.90085112360465	-0.517866949064711	-0.359684753107325	"1"	"0.4"	"0.9"
1.38079080321014	-0.195539738601362	-0.37734921528618	"1"	"0.4"	"0"
1.92394695275801	-0.0878020195742772	0.236844222061518	"1"	"0.4"	"0.6"
2.33785171476338	-0.148887689819055	-0.0268680794769416	"1"	"0.4"	"0.7"
2.39005385373796	-0.573216806127703	0.262715756122972	"1"	"0.4"	"0.8"
3.58100427758921	0.560447068386504	0.850228079102071	"1"	"0.4"	"0.9"
1.65915600001415	-0.10274751677986	-0.154606859715543	"1"	"0.4"	"0"
2.21744397554914	0.649935762443182	0.579742454817331	"1"	"0.4"	"0.6"
2.39788819277941	-0.187663435096637	0.00974920242640934	"1"	"0.4"	"0.7"
2.52431175958338	0.065388896081801	-0.27668292882981	"1"	"0.4"	"0.8"
4.52660616203043	-1.86905278191799	1.07971519329118	"1"	"0.4"	"0.9"
1.60148170247178	0.401431512221454	0.247991960162691	"1"	"0.4"	"0"
2.04427881710847	0.529623611210878	-0.544467938332711	"1"	"0.4"	"0.6"
2.1485916338387	-0.455334645360268	0.475574896997062	"1"	"0.4"	"0.7"
2.82667927056525	-0.13280047748553	0.859613477991103	"1"	"0.4"	"0.8"
3.59661678035155	0.230366075325708	-0.680862158829152	"1"	"0.4"	"0.9"
1.56440440050646	-0.193199255151546	-0.218391394650778	"1"	"0.4"	"0"
2.30494250579475	0.868087422846474	-0.379135205866765	"1"	"0.4"	"."
2.08928711922343	0.194801845135223	0.202383242845811	"1"	"0.4"	"."
2.93375123319091	0.950737247803288	1.01926308578404	"1"	"0.4"	"."
3.22765171177564	-0.226937653688009	-0.297315157825685	"1"	"0.4"	"."
1.51488744148757	0.143866404593116	0.0231534181241158	"1"	"0.4"	"0"
1.55884769256019	0.329589015495249	-0.0746026030665378	"2"	"0.4"	"0.6"
1.90490478431922	0.103448568829607	0.58187004082989	"2"	"0.4"	"0.7"
1.92943754810407	-0.486485348044005	-0.0157815002487648	"2"	"0.4"	"0.8"
3.14072878369785	-0.434407813197476	0.122296907666169	"2"	"0.4"	"0.9"
1.61562565670922	-0.278784197031743	0.366852107141585	"2"	"0.4"	"0"
2.29343728707979	0.231974386350318	-0.268960411773221	"2"	"0.4"	"0.6"
2.44922417699934	-0.0730454019688129	-0.274067934302448	"2"	"0.4"	"0.7"
2.24078313070712	0.581289328982459	-0.418324411680282	"2"	"0.4"	"0.8"
2.91840505040662	-0.266244779453042	0.113048567356667	"2"	"0.4"	"0.9"
1.63173350416454	0.182382795816931	0.0817434031435698	"2"	"0.4"	"0"
1.69695895073383	0.232532760402182	0.129056453871338	"2"	"0.4"	"0.6"
2.38592595282374	0.461560272543975	0.0510005438359845	"2"	"0.4"	"0.7"
2.43487389260485	-0.44603765529466	-0.413983779188297	"2"	"0.4"	"0.8"
3.38028711234585	-0.186879466882582	0.264817046216929	"2"	"0.4"	"0.9"
1.47722233705706	0.461905546603873	-0.047130188261251	"2"	"0.4"	"0"
1.6725136215762	0.247093958885113	-0.338661940883394	"2"	"0.4"	"0.6"
2.65936802303668	0.510307311092043	-0.301429277829482	"2"	"0.4"	"0.7"
2.52496461944174	0.355959600285051	-0.104974100086074	"2"	"0.4"	"0.8"
3.7638881206514	1.44797279751443	-0.201216708990043	"2"	"0.4"	"0.9"
1.70056837114524	0.181744436135515	-0.301961581990591	"2"	"0.4"	"0"
2.04078647172967	-0.180390798267855	0.22768813276476	"2"	"0.4"	"0.6"
1.98037373615639	0.427366560709801	-0.0434525711483808	"2"	"0.4"	"0.7"
2.84661123074071	1.11351408071792	-0.00208243948871417	"2"	"0.4"	"0.8"
3.21697883038831	0.0832389768411564	0.589105068169515	"2"	"0.4"	"0.9"
1.51262734969114	0.205549997412179	0.396538982746715	"2"	"0.4"	"0"
1.8037838377675	0.646889996162758	-0.382543215194721	"2"	"0.4"	"0.6"
2.02901720973998	0.438188325290872	0.355673316937983	"2"	"0.4"	"0.7"
2.33908665094208	-0.526416233310338	0.0685181545380906	"2"	"0.4"	"0.8"
3.49788828884115	0.505758601448872	-0.497987790491752	"2"	"0.4"	"0.9"
1.64276422481126	-0.0904890062877466	-0.282282241062687	"2"	"0.4"	"0"
1.91140214471786	0.763488505931462	0.132668275999513	"2"	"0.4"	"0.6"
2.14161199022908	0.337897419312635	-0.104270970253936	"2"	"0.4"	"0.7"
2.96743570169555	0.0146701244260005	-0.0902119845037732	"2"	"0.4"	"0.8"
3.29440022956858	0.372577373781575	-0.458230551947559	"2"	"0.4"	"0.9"
1.57505841588603	0.125465996461558	0.159359094796176	"2"	"0.4"	"0"
2.11025748108963	0.798170479367488	0.513290888489445	"2"	"0.4"	"0.6"
2.07550051320962	0.556208069404138	0.336048248673982	"2"	"0.4"	"0.7"
2.39533924699479	0.368592737625018	-0.24744022356919	"2"	"0.4"	"0.8"
3.52568789133129	-0.486781572158873	0.886291569167427	"2"	"0.4"	"0.9"
1.57341587003577	0.026043739272849	-0.113589615772935	"2"	"0.4"	"0"
1.88196106246594	-0.213782585216058	0.195972729226759	"2"	"0.4"	"0.6"
2.61848346932924	0.0203823420970614	0.58594850528134	"2"	"0.4"	"0.7"
2.56790841266482	-0.281674385726379	-0.0652544816081776	"2"	"0.4"	"0.8"
3.11503457628129	-0.405334502122948	0.868091120467184	"2"	"0.4"	"0.9"
1.46764542829993	0.212180146100862	-0.484377076487131	"2"	"0.4"	"0"
2.12296008854279	-0.107188370076872	0.381514761404003	"2"	"0.4"	"0.6"
2.02487027417268	-0.498798664609571	0.581783404369233	"2"	"0.4"	"0.7"
2.53457281243358	-0.453123865215966	0.811493971738647	"2"	"0.4"	"0.8"
3.32749984916103	0.348172175479714	0.210381223998864	"2"	"0.4"	"0.9"
1.44830115554687	-0.386011637092646	0.603393383757794	"2"	"0.4"	"0"
1.97860297066677	-0.0293820075020955	0.0270448602665762	"2"	"0.4"	"."
2.13757748492267	0.385070852170157	0.210214439166625	"2"	"0.4"	"."
3.8795661768848	0.154898386771154	0.71669698606336	"2"	"0.4"	"."
3.19953761153335	-0.0479081940895458	0.607679669802853	"2"	"0.4"	"."
1.46875400962524	0.255555456250023	-0.282282356185314	"2"	"0.4"	"0"
1.8217101589785	0.0059990994364953	-0.146666617955178	"3"	"0.4"	"0.6"
2.36938482756427	-0.561269153795648	-0.745831179861351	"3"	"0.4"	"0.7"
3.41440407573303	0.149366237898224	-0.753169153757675	"3"	"0.4"	"0.8"
3.33858083043057	0.213330870307407	-0.92238090509829	"3"	"0.4"	"0.9"
2.18542408012696	-0.305965345745409	-0.354170789983897	"3"	"0.4"	"0"
1.8047248022169	0.818435845816792	0.126171072883082	"3"	"0.4"	"0.6"
2.38972172171564	0.755082152508251	-0.460719186157463	"3"	"0.4"	"0.7"
2.40340376598148	0.591820697056949	0.172311421715151	"3"	"0.4"	"0.8"
3.1419713017059	0.0348032573845652	-0.729726620601622	"3"	"0.4"	"0.9"
1.57589445052506	0.252740230254116	0.433519904115164	"3"	"0.4"	"0"
2.00913868136308	-0.199557019296163	-0.0563764396202367	"3"	"0.4"	"0.6"
2.88798749006306	0.115107603437997	1.18783213243977	"3"	"0.4"	"0.7"
2.59863305394673	0.234234883058979	-0.153243662565497	"3"	"0.4"	"0.8"
3.60164365002185	-0.651375412631559	-0.0148154013573124	"3"	"0.4"	"0.9"
1.63015269872878	-0.320559385529166	-0.0549399470697102	"3"	"0.4"	"0"
1.93432247616635	-0.12831805378434	0.134178163220498	"3"	"0.4"	"0.6"
1.94086220807599	-0.0573822983330947	-0.539810305514209	"3"	"0.4"	"0.7"
2.00237348278471	0.487555072885484	-0.535214744251197	"3"	"0.4"	"0.8"
3.22355375750226	-0.472539195928298	-0.788141657385658	"3"	"0.4"	"0.9"
1.68057409967697	-0.533989013709328	0.320117409030368	"3"	"0.4"	"0"
2.06225635576395	0.429905377293938	-0.611757921341004	"3"	"0.4"	"0.6"
2.4560483363171	1.01209617408798	0.139431003652634	"3"	"0.4"	"0.7"
2.6702895156931	0.610397729582039	-0.280055623461349	"3"	"0.4"	"0.8"
3.93712050770561	-0.13757946527323	-0.542528441895807	"3"	"0.4"	"0.9"
1.66450946148187	0.0574626602793847	0.356320886030704	"3"	"0.4"	"0"
