"err"	"xerr"	"yerr"	"rep"	"sigma"	"mu"	"skew"
18.9492576688788	0.268830219995958	-3.07039001933371	"0"	"0.75"	"0.0"	"0"
20.6312539820238	-4.3004110671683	-5.33534238909571	"0"	"0.75"	"0.5"	"0"
27.0723570055923	-6.77779066597866	-4.83550801446194	"0"	"1.25"	"0.5"	"0"
22.7440795453724	-7.25942021028482	2.84511557944483	"0"	"1.25"	"1.0"	"0"
17.8027437766337	2.54758671233261	-6.70572157938238	"0"	"1.25"	"1.5"	"0"
17.0174755944082	2.22092579080128	-7.58066293328923	"0"	"2.0"	"0.5"	"0"
20.4303475115132	-2.78673224730478	-2.71413095103077	"0"	"2.0"	"1.0"	"0"
19.2766680706018	-2.10461540249431	-6.70762730224285	"0"	"2.0"	"1.5"	"0"
19.0929214855728	0.770237575723357	-9.80020403390708	"10"	"0.75"	"0.0"	"0"
22.0334950378982	-15.2412974792785	6.54245648266889	"10"	"0.75"	"0.5"	"0"
20.5024214610275	-14.4753408942612	-3.87351948854291	"10"	"1.25"	"0.5"	"0"
22.9667677653598	-0.291855570158837	-3.37782964033667	"10"	"1.25"	"1.0"	"0"
18.8642582867876	-7.33810337545036	4.1673960602247	"10"	"1.25"	"1.5"	"0"
21.690507505266	-0.908019276233624	-1.06349031441857	"10"	"2.0"	"0.5"	"0"
19.7940751645528	-1.5569990498755	-0.515806657108245	"10"	"2.0"	"1.0"	"0"
21.0504924337416	-10.345783367006	-0.26624907380819	"10"	"2.0"	"1.5"	"0"
22.0778038605645	-0.880668478455621	0.117193773883301	"11"	"0.75"	"0.0"	"0"
18.6259111099861	-4.77450199119606	-1.74229617827182	"11"	"0.75"	"0.5"	"0"
15.4293745975851	-5.57653233042707	-1.28672078812623	"11"	"1.25"	"0.5"	"0"
23.0680856716988	-0.773991363212398	-2.7273655972385	"11"	"1.25"	"1.0"	"0"
18.2802823765194	1.64339120259871	-6.59690961011856	"11"	"1.25"	"1.5"	"0"
18.7458218056526	-6.89602748058422	1.71127000566859	"11"	"2.0"	"0.5"	"0"
23.0850031957486	-1.5375492448668	-8.88529644470145	"11"	"2.0"	"1.0"	"0"
17.6910066187732	7.21108109486207	5.6919707058083	"11"	"2.0"	"1.5"	"0"
24.2834427075033	-8.44612077194045	2.37230215401423	"12"	"0.75"	"0.5"	"0"
21.0115265211173	5.03903419873984	-8.93052756978667	"12"	"1.25"	"0.5"	"0"
19.3073584752692	3.97780969327929	-5.00126447414771	"12"	"1.25"	"1.0"	"0"
21.444985035571	-8.82684537267425	1.74158803321551	"12"	"1.25"	"1.5"	"0"
18.2622868907699	-1.08509741489846	-0.497172428522688	"12"	"2.0"	"0.5"	"0"
