	vector	angle	mag
0	0.03196480653048694	0.0865602995481889	0.14523908465883145
1	0.044970439811728616	0.10063570158856358	0.15227516963305576
2	0.03978513458783748	0.07513670682463239	0.16715019104526593
3	0.03625810067596206	0.08531140537835741	0.15260991200084523
4	0.04334277687340823	0.08724547394014685	0.16520333783358757
5	0.04418300854574255	0.08012692181600023	0.14578882373287264
6	0.049300875421947915	0.054702507672831496	0.14233343283562067
7	0.03704111956517265	0.09485075951318983	0.13970429184003255
8	0.036914537114110586	0.07861040869810022	0.1545518360844717
9	0.053419136777356144	0.07230429667286051	0.1645496475952941
10	0.06827032428456227	0.10444818491577691	0.18371214309688094
11	0.047815077959460224	0.07258072295198775	0.15414618115765008
12	0.032316581826654034	0.1175309437420482	0.13871190741641004
13	0.035386236054598896	0.09746163143083494	0.15142793710950334
14	0.04605775641065299	0.09567431305433619	0.15020999680908714
15	0.0390942431123072	0.09263694624882222	0.1536310746639948
16	0.03211788105965641	0.10230377238720739	0.16552202593404
17	0.05814543629146613	0.07865463053087088	0.15795568563155632
18	0.040071352321613345	0.039517522373995896	0.17655405115616854
19	0.045309489945746524	0.09576088208777557	0.15353258408578244
20	0.05061866474538515	0.0862034828520012	0.1465085039531369
21	0.04905552424929972	0.0947799496802324	0.1424292464622563
22	0.03536108243266112	0.14014732777474428	0.15034630940491717
23	0.0469400514289986	0.10278156903993574	0.15141343202927665
24	0.044595739745122244	0.0861434463351185	0.15107821755673073
25	0.04433959362965974	0.07188358731622035	0.15247681469864693
26	0.03730755457615822	0.062313680362782946	0.12461835795375094
27	0.03791055723948311	0.09789074937960907	0.16877847340468113
28	0.04221579870442185	0.09069988483629088	0.16907585053929158
29	0.045478741659839075	0.09473138910028735	0.16420485248079572
30	0.04047250905019287	0.08800482283052354	0.14573891897922578
31	0.041700137173147245	0.08823145894697669	0.1324643425944679
32	0.03155126106820169	0.08317665760380542	0.16066915459049694
33	0.03912560130502325	0.07576419095771987	0.16705879047983102
34	0.057753303257410085	0.07471719675476585	0.13680991839490447
35	0.04602128446207272	0.057573940705489074	0.14339045945735052
36	0.028653731567770555	0.08701595200416233	0.13991139916180556
37	0.04998571418222279	0.06127350689534654	0.16693580493623444
38	0.043626376793035306	0.10476944328162616	0.1627916769977536
39	0.038816686393465374	0.0638241040718011	0.1327701554224536
40	0.033517417507998665	0.1109108876256504	0.15274247323027543
41	0.04636726570892817	0.08313467099867027	0.16445329963596517
42	0.04451474450962748	0.08472029785196902	0.1638342281229495
43	0.04070609399689616	0.10803151163248804	0.16639837676448233
44	0.038177871167449084	0.050838472931754704	0.14213656800461166
45	0.03990482681865005	0.09079421842566376	0.15145557494585513
46	0.03648917983488943	0.1039971480847697	0.151812576882094
47	0.03338233028363945	0.08334690752672665	0.13616890392454337
48	0.03237729447627051	0.11244893054091273	0.15050374150653653
49	0.04267666808216779	0.09139473333989633	0.15432412748651156
50	0.04212045932078517	0.10606801919947222	0.16509332199997093
51	0.0358207058421018	0.12029013403602729	0.15542799506747113
52	0.042254601176174154	0.07909827551662706	0.15639029356743392
53	0.041784498126624985	0.10411851653210476	0.16440456173856083
54	0.03534210642093813	0.11392622770569458	0.14466680750709593
55	0.039661621440666345	0.0925682907339026	0.16352871107850417
56	0.037371794700741395	0.07902097102627588	0.14378279620265205
57	0.04032337371130727	0.08389997155101779	0.15493608330739952
58	0.05094637235946877	0.08507587894158342	0.17289904559872782
59	0.04200418228662111	0.07697272418174733	0.13941658964049822
60	0.045373511514301516	0.09575823217121839	0.15216832478527959
61	0.045537751332491806	0.08425314325520636	0.1543573300950851
62	0.027709968833907462	0.08236281894657667	0.15722963806551457
63	0.04764159377231451	0.1167979237374603	0.16408150245562425
64	0.04292560987429593	0.09127338797679367	0.15722875940450656
65	0.04956146126336072	0.0758723411485589	0.1611702787594258
66	0.04604950440106282	0.08970706071943343	0.15719757584068317
67	0.03203552604968429	0.04821791208589546	0.14130881467956313
68	0.03887636271763572	0.08518000598205651	0.1656270246893893
69	0.03796099753027425	0.06902760095231061	0.15078382961944276
70	0.047798934027490955	0.07800770215031548	0.1546147005223967
71	0.05610783091179769	0.0861686968754564	0.15828139265174002
72	0.037443489984280785	0.07213264964497043	0.16058414985636074
73	0.05288790830995177	0.08007011556488136	0.16181916756227138
74	0.04463517802055899	0.0742582715048043	0.1654247350934632
75	0.045899334458353105	0.07220611250613981	0.16225431674656554
76	0.03678699354945386	0.08454291223047913	0.1568921155103749
77	0.044306744468400355	0.09687535737000671	0.16250716509484703
78	0.036910872208895856	0.09951218491907726	0.16442481132631662
79	0.05560200541489044	0.06747662304252595	0.16737139994132832
80	0.04879416523741718	0.09887875943129953	0.15992122133419964
81	0.04524379652773139	0.0925281968222441	0.1630879882804565
82	0.04867113354025369	0.07791796176983355	0.15234935710379832
83	0.055719540705957096	0.08885542650736188	0.1606129633301175
84	0.05297794545292452	0.09514692183000875	0.16183818740018632
85	0.0362565279308988	0.07503377657604504	0.16707474247732282
86	0.052192276846142784	0.0848458777604686	0.16995181826873448
87	0.04291691585454548	0.03923515144924677	0.15601847054985635
88	0.044963820306929705	0.11419807158355347	0.15708306764871244
89	0.04551028810617442	0.09536898477256141	0.16587511899224294
90	0.04201876948571644	0.08089540458638907	0.1571529266743776
91	0.045755325403240385	0.08015010153159155	0.156074347788606
92	0.04113209869600356	0.09599239751344517	0.1408727659421317
93	0.05723659772880902	0.09022773675315524	0.16242520580815356
