"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"AV0368-C"	-7.03468436805966	10.830901845844	-4.39595596	9.72372743
"AV0371-C"	-7.80845105580826	10.8251491352251	-7.69055629	10.84036653
"AV0372-C"	-7.80089482382168	10.8309504349786	-7.79855786	10.80343865
"AV0373-C"	-7.80789250655865	10.821359651377	-7.67308268	10.80847721
"AV0375-C"	-7.78994994596656	10.8266656935372	-6.9831198	10.40602642
"AV0376-C"	-9.43791180357301	9.03752425257242	-6.40785916	9.68124922
"AV0377-C"	-7.62077032646083	10.7131682075025	-5.56403174	9.83830306
"AV0378-C"	-5.079259389125	11.0796963315899	-5.42315426	9.86883471
"AV0380-C"	-4.78483958240901	11.0876482215922	-4.12931843	9.65153258
"AV0381-C"	-7.80735100475775	10.8214768406643	-7.53456631	10.81053994
"AV0382-C"	-7.79912952424669	10.8227643227323	-7.08824978	10.69143526
"AV0383-C"	-7.80585550940067	10.8242282341873	-7.81256517	10.80676704
"AV0384-C"	-7.82039559289819	10.8248095825441	-6.80074387	10.40405752
"AV0386-C"	-7.80498466256562	10.8282982598564	-7.69635381	10.64181584
"AV0387-C"	-7.77887639148038	10.6200278277223	-5.47149084	9.86419414
"AV0389-C"	-9.48859125585445	9.31749521453773	-6.27685205	9.91465537
"AV0390-C"	-4.99237234221413	11.0838466699945	-5.24462661	9.94775525
"AV0391-C"	-7.8157152737337	10.8248920023515	-7.72879124	10.82790501
"AV0392-C"	-4.79798170514544	11.1048193726254	-4.02948803	9.88895253
"AV0393-C"	-7.8052682878891	10.8248181451634	-7.75778748	10.85378725
"AV0394-C"	-7.80538849591945	10.8272870813098	-7.76797013	10.81199875
"AV0396-C"	-7.80932208549632	10.8293470935133	-7.02992974	10.58867074
"AV0400-C"	-9.61118137159751	9.24579212682843	-5.28525417	9.64450201
"AV0401-C"	-6.46145148002131	10.9865881071562	-4.98578639	9.86964668
"AV0402-C"	-7.81218217087625	10.8225417673032	-7.79792693	10.84449744
"AV0403-C"	-8.29520889712062	11.4128023851062	-7.12553937	10.78495986
"AV0404-C"	-7.81298267996011	10.8297009061064	-7.77913749	10.83158061
"AV0405-C"	-7.80532990147385	10.8220617373633	-7.38855521	10.67477706
"AV0406-C"	-7.79458412969928	10.7847414949189	-7.1583225	10.22742048
"AV0407-C"	-4.69436202142083	11.0961019172472	-2.88673605	9.50724371
"AV0408-C"	-5.01043906185798	11.0335802963907	-4.8516356	9.77130187
"AV0409-C"	-5.59665671944171	11.0231685203965	-4.77212588	9.78628517
"AV0410-C"	-7.80796499577512	10.8279886737277	-7.5719203	10.70931157
"AV0412-C"	-8.3071152965237	11.4849721579054	-7.01838799	10.86701334
"AV0414-C"	-7.80440614760628	10.824578236012	-7.81977161	10.83352921
"AV0415-C"	-7.79283066840776	10.8216692136849	-7.17450821	10.64209036
"AZ0253-C"	-8.43812176299694	11.9418019107042	-7.13788565	11.71521562
"AZ0254-C"	-8.41302540510399	11.9563715915865	-7.19367546	11.77640555
"AZ0255-C"	-8.41520086594172	11.9377132269396	-5.10286326	11.26831185
"AZ0256-C"	-8.41548286294327	11.943267089148	-6.15285194	11.47998445
"AZ0258-C"	-8.3744753880264	11.9619517906254	-6.4932805	11.64809166
"AZ0259-C"	-8.39954217694325	11.9496782252135	-6.26050564	11.52658251
"AZ0260-C"	-8.35690717370111	11.9595845959772	-6.19786176	11.54716416
"AZ0261-C"	-8.42272089374644	11.9208719762402	-7.44202321	11.78020727
"AZ0263-C"	-8.40035740967314	11.9675501455433	-6.27194004	11.54129312
"AZ0267-C"	-5.38667173137759	11.3015088854056	0.01651847	9.98763986
"AZ0279-C"	-8.3789022977	11.9492060905193	-6.1323577	11.76544228
"AZ0283-C"	-8.37010086722051	11.9721270426211	-5.57925682	11.37538759
"AZ0300-C"	-4.63803789494037	11.2760987537607	-2.77175629	10.63613936
"AZ0301-C"	-4.66856416017292	11.2617288410483	-2.63959058	10.70467257
"AZ0302-C"	-4.6859389916652	11.2464868560509	-2.13356353	10.21960529
"AZ0304-C"	-4.66624966113787	11.2543749553109	-2.51928484	10.45056598
"AZ0305-C"	-4.65620343937688	11.2572229822942	-1.20162192	10.09401059
"AZ0306-C"	-5.09176447639499	11.2765875757809	-1.83895967	10.27395905
"AZ0307-C"	-4.66286784692406	11.2657456490258	-2.24685184	10.42333233
"AZ0308-C"	-4.52424624633046	11.238512531668	-2.04511225	10.67543297
"AZ0309-C"	-4.54363085557086	11.269207577475	-2.67033379	10.52859028
"AZ0310-C"	-4.73257616270182	11.2791426553924	-2.48570362	10.57179871
"AZ0311-C"	-4.78982943310058	11.2750038613226	-0.48003839	10.06268027
"AZ0312-C"	-5.51173547606203	11.2871998006199	-1.79694976	10.30321177
"AZ0313-C"	-4.82347462303296	11.2787019844723	-2.73423695	10.75851314
"AZ0314-C"	-4.69676613998889	11.2720341883018	-3.06244948	10.44642696
"AZ0316-C"	-5.30410669099869	11.2918970630172	0.29515699	10.09087375
"AZ0317-C"	-4.84255044648189	11.2089304990331	-2.79832403	10.40776358
"AZ0318-C"	-4.64014702113536	11.2831241329186	-2.28966448	10.54937775
"AZ0319-C"	-4.51307469500078	11.2264898719867	-1.91456513	10.32712263
"AZ0320-C"	-4.83797185275358	11.2495284972653	-2.65858169	10.45968032
"AZ0321-C"	-4.59923981811294	11.2586155856486	-2.60162472	10.70352996
"AZ0322-C"	-4.51235921319008	11.2582303887357	-2.27956771	10.61431181
"AZ0323-C"	-5.39176819239181	11.3491677070543	-2.36028452	10.33619843
"AZ0325-C"	-4.56253964756679	11.2585663895428	-3.16452192	10.85299987
"AZ0326-C"	-4.65378590694364	11.2266538169702	-2.42795352	10.5666122
"AZ0328-C"	-4.96809812379738	11.2616718357792	-2.38745111	10.54857061
"AZ0329-C"	-5.01352689335191	11.3856375424411	0.0506379	9.87585194
"AZ0330-C"	-4.93917846014901	11.2790836849034	-0.62404987	10.67641446
"AZ0331-C"	-4.69656202462497	11.2567326499482	-3.82595679	10.67937201
"AZ0336-C"	-4.65405227506229	11.2381068806311	-1.1387109	10.39080337
"AZ0337-C"	-4.4850137693259	11.271752091393	-3.0413265	10.98588241
"AZ0338-C"	-4.74571727896184	11.2276467228072	-3.13181332	10.54159169
"AZ0350-C"	-4.86611157783677	11.3052330000631	-1.42466682	10.13019695
"AZ0484-CW"	-4.93484422719752	11.2315459869212	-1.09235517	10.27522134
"BK0001-C"	18.6824366870493	4.45328900557755	15.08786527	5.71950414
"BK0005-C"	18.6091414157823	4.46587180830029	15.99183762	5.32215493
