"err"	"xerr"	"yerr"	"rep"	"sigma"	"skew"
3.63057298350087	-0.00391832411674112	-0.171192885459781	"0"	1	"0.6"
3.7753897909432	-0.681229890303002	0.548058756611349	"1"	1	"0.6"
4.66575864714909	-0.548019513404557	-0.525022080738244	"2"	1	"0.6"
3.78648546887445	0.0283720489660803	0.0811374949773053	"3"	1	"0.6"
4.0405559666392	0.777082056358155	-0.292809826850624	"4"	1	"0.6"
4.12596637941633	1.09277622953021	-0.818829871029517	"5"	1	"0.6"
3.43984381006894	0.613651191409066	-0.226989009524549	"6"	1	"0.6"
3.58253709211738	-0.0726492976945039	0.00757154661158539	"7"	1	"0.6"
3.94631526675469	-0.305078208439286	-0.0338061138386329	"8"	1	"0.6"
3.74121044580755	0.162476308408992	0.0687689117377054	"9"	1	"0.6"
3.76353727596327	0.0563009319064001	0.107737971161295	"0"	1	"0.7"
3.8743052583283	-0.161883094265961	0.561647255843545	"1"	1	"0.7"
3.20606166044177	0.202996140819285	0.114759273160896	"2"	1	"0.7"
3.72090818173133	0.415886540819069	-0.0208741569003802	"3"	1	"0.7"
3.95461512306093	1.20917132460539	0.0210384657667831	"4"	1	"0.7"
4.24706900304317	0.388861505574446	-0.402550108808365	"5"	1	"0.7"
3.94246548431572	0.129527931611826	0.442073449242723	"6"	1	"0.7"
3.82599132966408	0.0966006830506943	-0.578898738041799	"7"	1	"0.7"
3.57337245239239	-0.312719364492925	0.45107891463307	"8"	1	"0.7"
3.83053013593406	0.159349682543573	-0.68146343262158	"9"	1	"0.7"
3.70588462080405	0.315798702993447	0.560696467356802	"0"	1	"0.8"
3.87315827408763	0.478704070031756	-0.295200372004594	"1"	1	"0.8"
3.65146249951468	0.459998447904328	0.758708459540705	"2"	1	"0.8"
4.03561957413214	1.12929784906312	0.409478780174527	"3"	1	"0.8"
4.23705636937628	1.05346256833278	-0.0339243530615913	"4"	1	"0.8"
3.64521787305941	0.0538109965804818	-0.72295647256409	"5"	1	"0.8"
3.90322380531087	-0.0793911876443781	0.101366854026353	"6"	1	"0.8"
3.7084047831784	-0.349926582270449	-0.299097812896232	"7"	1	"0.8"
3.80552983895309	-0.610144008581604	-0.0448155164360283	"8"	1	"0.8"
3.74076087882784	-0.00176072902548886	0.211072818827416	"9"	1	"0.8"
3.93587062382369	1.05678367852159	0.00211206992751526	"0"	1	"0.9"
4.99738966133367	1.80726235078897	0.575412253327337	"1"	1	"0.9"
4.80657947287186	-0.449821045109789	-0.0893378466301149	"2"	1	"0.9"
4.62640085229194	0.380703651918324	-0.10888911004067	"3"	1	"0.9"
4.36350724159129	2.21060451296699	-0.784709063005275	"4"	1	"0.9"
5.08857121594111	0.413975213041425	-0.864749820210864	"5"	1	"0.9"
4.7855844823694	0.449724522329872	-0.911609598841014	"6"	1	"0.9"
4.42850002231056	0.837695702762355	-0.8545747399158	"7"	1	"0.9"
4.07114142593296	0.424377869758321	-0.957925844642528	"8"	1	"0.9"
5.03140350124466	2.30789174458396	-1.1277270553516	"9"	1	"0.9"
