x,y,sampleID
4.073294203853752,27.968957234954452,tsk_1423
15.213143837668195,13.581134977217419,tsk_6829
16.908133137462006,7.086195745055047,tsk_5211
6.907557781714235,26.999035838132137,tsk_384
20.93326941342174,29.25400491556215,tsk_2169
19.6965327189485,39.23594860389506,tsk_8723
25.703341501315645,40.89355212467895,tsk_7395
29.607762462814836,14.030754410157318,tsk_473
29.290219702128617,4.628014391165298,tsk_6442
42.267744514660635,46.99826488392951,tsk_7332
48.15045809047707,41.783464823281605,tsk_4402
17.675397757103408,40.38012207352705,tsk_9471
2.1309271841127995,25.993772974008422,tsk_5210
46.21373435123722,6.216407933734633,tsk_4450
28.2310298784409,43.08569228571561,tsk_1950
14.116422021253463,36.23390444247539,tsk_2561
10.467670275278397,31.247840905572023,tsk_4043
9.927388828219136,7.298243337882596,tsk_5745
46.843252544739805,40.676105171848846,tsk_6966
46.43338936078194,9.34607333157829,tsk_5658
47.37997940865705,1.8674688771325592,tsk_469
45.57944633249279,32.18634784419766,tsk_3103
44.707669626388615,3.19767484139798,tsk_6676
33.33850270069325,22.88276001163411,tsk_3637
10.680793358536516,27.077571983623823,tsk_2719
26.01139777836005,36.05327130784452,tsk_339
47.9018955094826,33.39580448476961,tsk_9055
28.422536842848245,4.918598129484533,tsk_286
34.321375320511486,32.99232503730608,tsk_9988
8.139311983578164,6.70136863214579,tsk_292
48.73012857209716,15.010492825166091,tsk_1487
37.02748386544687,44.818886846535236,tsk_2252
35.587868357088595,19.47030323457179,tsk_5209
45.15245583019042,44.940617872047355,tsk_3364
38.299128389237794,24.895248739858545,tsk_808
39.747361514783435,18.216976793979093,tsk_4816
33.47469336376884,3.711104892549873,tsk_9688
3.283295695805169,23.822248652078397,tsk_7979
5.775028097301629,11.311440372507715,tsk_4259
27.47560500813255,43.49972502772959,tsk_10353
38.27685148249524,33.23087857923708,tsk_607
31.647789534038225,6.785794988549352,tsk_3305
5.106493037131301,6.4657601956707325,tsk_10165
32.79455274154512,48.139002397196236,tsk_2901
7.78327642937975,26.633842559765657,tsk_6532
14.569316168440086,47.0002282875668,tsk_61
6.864279972433952,8.201409011036978,tsk_2082
4.8896330844162,6.049518624564801,tsk_373
28.40990212264155,21.912838614811797,tsk_6915
