x	y	error	kd_x_mean	kd_y_mean	dx	dy
-0.450589257393999	6.4127567873196	400.890019763815	-0.669768859059787	9.78859130601795	-0.219179601665787	3.37583451869835
-0.820530824908428	10.7776518794834	6.96105878004684	-0.828991300902008	10.7535652627545	-0.00846047599357935	-0.0240866167288747
-1.19722578657396	5.56096425690114	463.609368262619	-0.969651610431322	9.69897419775984	0.227574176142638	4.1380099408587
-1.44857251067032	6.80361567081216	363.720019767122	-0.964569721215763	10.0260213744703	0.48400278945456	3.22240570365814
-1.65797819105272	7.70608839886317	343.941204662719	-0.859569116294754	10.6528544597815	0.798409074757971	2.94676606091838
-10.2304157759393	13.8729130930277	617.775892382277	-4.91217555705776	12.0474956838297	5.3182402188815	-1.82541740919794
-10.6581516685923	10.4900274063871	696.470632816078	-4.72292779200607	11.4081408518775	5.93522387658625	0.918113445490407
-12.1255836774436	15.3769998379733	559.780190300805	-7.57174465479599	13.0681497335481	4.55383902264759	-2.30885010442517
-14.1602743268945	13.3937787643649	161.168111841023	-13.3780064981628	13.2555971298824	0.782267828731776	-0.1381816344825
-15.5869117251822	12.8932391227058	376.60345238942	-12.7258936534534	12.899890698907	2.86101807172879	0.00665157620117896
-16.0085469425709	13.5074405235941	378.762783336371	-12.6036824369179	12.9604436747845	3.40486450565293	-0.546996848809661
-16.4015587974171	13.2453956506771	172.858460323441	-14.8376096366599	13.1903450100146	1.56394916075722	-0.0550506406624791
-17.2654175478361	14.754650571506	483.36367771804	-13.3455103880475	13.1974811188828	3.91990715978862	-1.55716945262319
-3.51140945433094	14.7051525084303	520.390368373219	-0.868938718266078	10.780872468483	2.64247073606486	-3.92428003994724
-4.06497606998656	5.42029539675511	608.272937355795	-1.26322480788933	10.0182863290384	2.80175126209723	4.59799093228326
-4.33212116013286	11.3678241953156	376.403523467663	-0.939546817509768	10.7768017746052	3.39257434262309	-0.591022420710349
-5.69784924579184	13.8114346849378	621.657416602921	-0.892207914024514	10.7697113242383	4.80564133176732	-3.04172336069943
-6.55896423061274	11.4325074896702	615.035290287604	-1.1482523250149	10.7920672444332	5.41071190559784	-0.640440245236983
-7.09017921834709	18.1937014223261	738.371908074554	-5.73245389462983	12.4710738708349	1.35772532371726	-5.72262755149123
-7.645231383147	13.6253391950819	499.416987226985	-3.76655653975334	11.8218974682754	3.87867484339366	-1.80344172680649
-7.97913454916132	12.6110174188952	528.306028035847	-3.54436375348292	11.5678705972046	4.43477079567839	-1.04314682169059
-8.89905996049923	8.43731555009309	806.595590554067	-1.85887427269064	10.3925746680771	7.04018568780859	1.95525911798397
-9.83234529216278	16.5654259090742	609.746337876924	-6.3846538545261	12.7166205930763	3.44769143763668	-3.84880531599795
0.0658734217876137	5.82174804930117	490.542085425383	-0.747577394641401	10.172654304208	-0.813450816429015	4.35090625490686
0.392035023600393	7.26900173621754	391.488939470649	-0.875146575925693	10.4535864888194	-1.26718159952609	3.18458475260181
11.9525367419304	1.40159143191829	491.983038101137	9.28307622851362	4.94563311045318	-2.66946051341677	3.5440416785349
15.9042405034987	-4.43671015741757	8.83330375638217	15.876422273162	-4.4069377602352	-0.0278182303367451	0.02977239718237
2.22164272154415	6.61191556046479	60.3072981161667	2.18909165689142	6.54855630800787	-0.0325510646527323	-0.0633592524569178
2.41178984100103	6.36469471347767	227.717668894895	1.12960553026519	7.63539685627706	-1.28218431073583	1.27070214279939
3.56494717621637	6.52705822200217	646.167573444094	-1.17103384683524	9.7628477381383	-4.73598102305161	3.23578951613613
30.4028272881467	-4.76434034703418	46.9811421021569	30.3082183781607	-4.61976360620952	-0.094608909985979	0.144576740824662
31.453920192687	-1.88038614575828	181.257513965782	31.7437264553691	-2.74036155183832	0.289806262682031	-0.859975406080034
32.5718422248767	2.11937445464846	1308.75516877198	25.3605302287477	1.24912807083819	-7.21131199612902	-0.870246383810261
32.8017965486535	15.8436791599915	137.092509019255	31.9374576330478	15.6442203473018	-0.864338915605682	-0.199458812689612
32.8040834968137	-23.3204720636176	852.456810765478	35.0368934282192	-15.9819943757367	2.23280993140553	7.33847768788089
34.7089457551876	-16.1643739589344	33.9781136597445	34.6158390903442	-15.9770857319519	-0.0931066648434538	0.187288226982446
34.8344002008458	-0.163032851639986	96.233728871727	34.6870468890532	-0.797793305825401	-0.147353311792521	-0.634760454185415
35.4269531544933	-15.3987938001198	103.642496732415	34.7617663593502	-16.0704722684887	-0.665186795143129	-0.67167846836897
35.7507751540327	15.9886906936577	286.18306477563	33.097713384402	15.7116281253168	-2.65306176963069	-0.277062568340865
36.9891468169358	-7.92283003354922	323.421587343727	37.8857773599263	-5.34848337472361	0.896630542990572	2.57434665882561
38.0473116933426	11.5624639132834	330.243094031192	36.3886694665418	12.7373645829759	-1.65864222680073	1.17490066969257
38.2818781220775	-5.21799598658367	22.4422991486746	38.2566726039677	-5.18685440328644	-0.025205518109864	0.0311415832972282
38.4069461756218	-9.48065848365116	303.551764997841	37.7491906780501	-7.63966001939924	-0.657755497571678	1.84099846425192
38.765441584725	7.50723661125819	112.870063316748	38.7179595318606	8.4249010167144	-0.0474820528644031	0.917664405456213
39.6868881751874	-3.17440401978248	8.91882323884598	39.6403868652135	-3.17387154877645	-0.0465013099739267	0.000532471006030377
4.37256482536008	8.98254625067003	594.224927814827	-0.725226074214117	9.87581949093209	-5.0977908995742	0.89327324026206
46.6846703947569	-16.5369911196133	1486.084195514	33.1527371048478	-14.9255550132751	-13.5319332899091	1.61143610633821
