x	y	error	kd_x_mean	kd_y_mean	organism
-0.219	5.668	416.532700634151	-3.71484152549086	6.64998713558853	anopheles
-0.261	6.094	462.006127606363	-3.95709970099811	7.79757541351487	anopheles
-1.17	12.06	692.840219161031	-2.58949281610207	9.45658126060415	anopheles
-1.549	5.609	222.840988033166	-3.55656270369596	5.52561222575	anopheles
-1.774	4.912	189.46344194252	-3.38693555107671	5.47055400024473	anopheles
-10.03	9.28	290.919334447286	-7.62574980225713	10.3014526246551	anopheles
-14.222	12.272	753.583508498797	-7.54896038562046	10.5548790166842	anopheles
-14.917	13.567	83.166252907933	-14.8636497625421	12.9569973587244	anopheles
-15.582	11.891	126.338597394797	-16.2928944435366	12.7725090163616	anopheles
-15.617	13.55	84.1486676146329	-15.0218139272463	13.0613691494791	anopheles
-15.649	11.957	112.655187249872	-16.2819639285595	12.7391659049565	anopheles
-15.9	13.55	72.2847322425338	-16.3498385734278	13.4264456966841	anopheles
-15.9	13.583	75.1420767499393	-16.0319236994649	13.2819124079898	anopheles
-16.033	13.417	116.815609250971	-15.0361947471485	13.0260097099124	anopheles
-4.235	11.15	265.651001205102	-6.62438007881004	10.9108440946539	anopheles
-4.472	11.233	209.064650023807	-6.31216844479769	11.3722298802214	anopheles
-4.535	11.235	216.941945275024	-6.45491278301342	11.0907684293759	anopheles
-4.823	5.898	66.8951960590763	-4.24202122884282	5.76218133897388	anopheles
-5.9	13.21	155.796935147558	-6.2009743079097	11.8985651822288	anopheles
-6.13	13.2	171.438760165453	-6.10846092481214	11.6900413741433	anopheles
-7.81	10.83	88.4247302115013	-7.29892036375252	11.0336487513394	anopheles
-7.84	12.68	186.55770303329	-6.37215344057748	11.8218631972965	anopheles
-7.87	12.69	233.459235905901	-5.96786272656925	11.7219183698271	anopheles
-8.08	12.81	253.32483277702	-6.14199485840712	11.5843502205865	anopheles
-8.15	12.89	261.505246131556	-6.52748430973572	11.2003914841738	anopheles
-8.16	12.9	258.365907494701	-6.37827149219609	11.4521904946531	anopheles
-8.2	12.2	54.0063982224065	-7.98555625544528	11.7999185659316	anopheles
-8.33	11.47	171.391190117772	-6.84359107474933	11.605457347385	anopheles
-8.45	11.88	66.8980926443668	-7.85365255937427	11.7636188343613	anopheles
-9.53	8.48	252.517655441268	-7.83979595817803	9.78869769981275	anopheles
10.056	2.855	257.048482982568	12.3078632544934	3.38393321227892	anopheles
10.457	5.479	1774.99047955497	-5.00352579550436	9.93085265962859	anopheles
10.593	5.484	273.566065653187	12.6509294797601	4.12073599141204	anopheles
10.868	5.726	528.320100263807	9.93850836910597	5.68635937170673	anopheles
10.934	2.817	218.613379429685	12.5128356242077	3.99653587250665	anopheles
11.11	5.88	999.439405263245	3.22853700089416	7.6524134669454	anopheles
11.141	6.097	228.511781271978	12.8002030761309	4.86987857151188	anopheles
11.5	3.516	2033.75168477643	-5.5264076382369	10.5324153410367	anopheles
11.506	3.88	59.9722078853678	11.2393399292191	3.43938133758189	anopheles
11.507	3.805	1587.20888951983	-1.05254033515159	9.32395921193817	anopheles
11.516	3.972	84.4294830844738	11.7012280975519	3.94094608371475	anopheles
11.519	3.369	181.843564857419	12.6901156897263	4.51832778017099	anopheles
11.535	4.166	243.797895869172	10.0860657707466	5.82411705515681	anopheles
11.539	3.87	1966.88018016807	-5.20716365196985	9.91462005903692	anopheles
11.632	4.332	1506.26380665986	-0.520705911375873	8.89805265344423	anopheles
12.629	6.469	2112.04097587536	-5.95171534723949	11.281112537913	anopheles
13.111	6.751	2149.96728825987	-6.07098385011296	10.4406240025306	anopheles
13.132	6.915	1971.2857871205	-4.53060994425189	9.81447597048917	anopheles
13.133	6.997	2063.40682433669	-5.40365586813352	9.71922142423787	anopheles
13.174	6.806	2082.16243223882	-5.42374917759741	10.2501409862999	anopheles
13.209	7.107	186.192400568129	13.4539904857551	5.44125895520747	anopheles
13.302	-8.884	127.939433776172	12.8873688228316	-7.8389300404681	anopheles
13.4	7.323	1991.2550129769	-4.5524098580048	9.4860770026218	anopheles
13.462	7.335	1170.31140745449	3.97223863244682	7.74580589766246	anopheles
13.503	8.888	2206.97810608638	-6.47208453637689	11.4818629034952	anopheles
13.506	9.119	1296.73478797301	3.2769162188691	7.35366103577909	anopheles
13.516	8.579	2091.85313932631	-5.45556458196539	10.3031903791531	anopheles
13.52	8.801	2129.49206975353	-5.82585792409814	10.1940512912898	anopheles
13.529	8.66	2153.58799309712	-5.88720536491035	11.7123549115211	anopheles
13.53	8.534	2263.77186281626	-6.85692607075727	11.8975244634924	anopheles
13.533	8.981	2064.96705197082	-5.2343220725806	10.3533206134319	anopheles
13.54	8.722	2084.74932346794	-5.37660033484981	10.395480296067	anopheles
13.547	7.783	2015.22320261201	-4.65990547582837	9.80211909897948	anopheles
13.551	7.399	275.638738705418	13.2446883795105	4.92539562375168	anopheles
13.554	7.3	1217.29408539479	3.80462309402214	7.59748828715297	anopheles
13.558	4.341	165.285060959683	12.315923159243	4.81348368415154	anopheles
13.56	9.424	2138.44741755704	-5.91317516158803	10.5387660427722	anopheles
13.564	8.525	2227.66176063916	-6.53913104693124	11.4868956175158	anopheles
13.578	7.354	2012.27814878711	-4.50506600231379	10.0841663215328	anopheles
13.581	7.82	1285.27516857457	3.02200889330305	7.45371952290717	anopheles
13.594	9.438	2101.45656713727	-5.54549213316349	10.4488703291727	anopheles
13.599	8.098	2148.19769338597	-5.68693129581244	11.4897560393778	anopheles
13.603	8.513	2113.92142517168	-5.55112292777233	10.4445725129888	anopheles
13.607	7.902	2062.93669644346	-4.97966830953705	10.5501522092828	anopheles
13.641	8.199	2092.98504283931	-5.25724645328213	10.6717818226589	anopheles
13.644	8.476	2022.2076821608	-4.71694181556533	9.57732331849513	anopheles
13.656	9.049	2260.5198758568	-6.80665583534595	11.8034124448472	anopheles
13.714	8.394	2205.34404016301	-6.23139132468274	10.8269848426235	anopheles
13.823	9.513	2206.37848629875	-6.27297158774903	10.7662799414498	anopheles
13.844	4.777	693.56165380251	7.82720422067008	6.12698296053543	anopheles
13.859	9.703	2075.4476104397	-5.06310517604604	10.4403371606999	anopheles
13.864	9.784	2180.63607225877	-6.02253383533506	10.6621894597145	anopheles
13.893	9.774	557.096553184157	13.0198244904427	4.81255413580655	anopheles
13.905	9.764	2210.51224978385	-6.25263102991797	10.6955495328333	anopheles
13.95	9.765	881.455732029041	6.95549794571574	5.90585192587656	anopheles
14.143	10.188	2182.6356073496	-5.78638975184163	10.5080625178241	anopheles
14.149	10.05	2189.03756641186	-5.83249279064578	10.588907689909	anopheles
14.188	10.211	1458.98916998522	0.939443908082643	10.4221310833504	anopheles
14.193	10.102	2206.73030306347	-5.94848520053262	10.2908532849127	anopheles
