sampleID	x	y	kd_x	kd_y	gc_x	gc_y
4353327955	-15.9	13.55	-14.930167077869212	13.569151865882706	-15.293313282538609	13.537968605814404
4353328330	-15.582	11.890999999999998	-15.588516886184278	11.887856115197192	-15.614450566463557	11.957291710741888
4353329059	13.558	4.341	13.572696916871845	4.355328683058003	13.594315496089258	4.38991203258022
4353329473	-9.53	8.48	-9.542942781884568	8.48936551686962	-9.51508216000218	8.539239057382362
4353330041	13.558	4.341	13.553567734251375	4.344161350070008	13.564214875744902	4.34455484777608
4353330758	13.302	-8.884	13.322584678178526	-8.888375635860868	13.254722149914791	-8.874943921273962
4353330871	13.844	4.777	13.82635328334852	4.7788915835198456	13.195244989693977	4.925311033723003
4353333242	-1.774	4.912	-1.7688035339831192	4.916626804782781	-0.42067472515900783	4.921620092102035
4353334033	-15.9	13.583	-15.910366535136484	13.538626621185813	-15.942309160139237	13.531691570843206
4353335084	-4.235	11.15	-4.265476226828223	11.155197611104544	-4.279564747964844	11.156468540084715
4353335727	-4.823	5.898	-4.8368357835145055	5.89911725210392	-4.480087078783938	5.805630860098307
4353336635	14.442	5.747000000000001	14.445338383131544	5.743894577469499	13.865985180512434	5.838318471529484
4353336679	13.302	-8.884	13.327455072498427	-8.891727922045696	13.570797525183057	-9.090283652593754
4353336924	29.701	-0.7509999999999999	29.70120537941539	-0.7530589022691574	29.67894790505868	-0.7670882341773669
4353337382	14.442	5.747000000000001	14.439644699674057	5.748944921665713	14.342797203578684	5.618938453989722
4353337483	13.844	4.777	13.830918889923584	4.748545510695951	13.79973833777622	4.701744522725496
4353338737	13.558	4.341	13.562182515874596	4.350707554181432	13.560826795147163	4.352680713623076
4353343507	-6.13	13.2	-5.982835634242381	13.216193114824064	-3.7802478239541166	12.081066946664542
4353345634	29.701	-0.7509999999999999	29.699050649076668	-0.7521665398080746	29.764739042009438	-0.8036566219459855
4351920659	9.455	0.384	9.444944532644804	0.389643554548023	9.391010864678607	0.6745374208128517
4352139894	35.299	-23.716	35.30283723669933	-23.71911553832779	35.535961380607574	-23.379718250911882
4352254854	-9.53	8.48	-9.549961836875038	8.499482970573291	-9.51519859193779	8.51959711574425
4352358176	-4.535	11.235	-4.466466328989441	11.20775692193819	-3.5304875302526573	10.917529685000734
4352366816	-5.9	13.21	-5.943939432296169	13.217446147390588	-5.2231538916304165	12.65802736098901
4352369405	-4.235	11.15	-4.454417799864753	11.224535349180911	-2.9527560126873844	10.715501133375142
4352400279	-15.9	13.55	-15.92407608851088	13.521987540400316	-15.58134330621035	13.557150189576022
4352532111	13.302	-8.884	13.298101996304723	-8.87261794237658	13.6617266972301	-8.872872231421503
4352551972	-10.03	9.28	-10.015161328529029	9.279180875946771	-9.1161364228895	9.118329309802043
4352576359	10.868	5.726	10.84234635388771	5.73635333005345	10.849770675105542	5.721990303711737
4352579106	11.140999999999998	6.097	10.916099922178482	5.780513064997984	10.449800836234916	5.9611289693312575
4352580467	10.457	5.479	10.560752593452364	5.539989850241201	9.950088198054534	5.554509906815009
4352591155	-14.917	13.567	-14.9320410227704	13.572473734163475	-13.93023167205797	13.216205097571944
4352603679	-4.823	5.898	-4.835589169923617	5.904408878759787	-3.3064438031234844	5.451710592121458
4352614678	9.455	0.384	9.457372579199523	0.3893240560955444	9.442279967840438	0.44356586579568025
4352636713	-15.9	13.55	-15.900481648230755	13.557644474075524	-15.873265048648811	13.559784524561051
4352643774	-14.917	13.567	-14.932261684317876	13.567395294931597	-14.976014210771927	13.576102384587761
4352662714	13.302	-8.884	13.310049899677436	-8.880646643914327	13.275440750054177	-8.813989731624526
4352662716	13.302	-8.884	13.3030500250325	-8.885532024506839	13.280900611413974	-8.818887058286832
4352677628	34.026	0.77	34.05385201473538	0.7733027345559442	34.091981594600746	0.7704091118480786
4352708979	-1.17	12.06	-1.1959879008319536	12.06622479152649	0.4881408864972412	11.111109231900285
4352712636	29.701	-0.7509999999999999	29.71387661265156	-0.7632269571580164	28.506620644851736	-0.3887898620565124
4352731054	14.442	5.747000000000001	14.424803944042363	5.743843076222956	14.14345318713618	5.2945588400608985
4352737750	-4.472	11.233	-4.38194376207497	11.15445007800733	-3.9730873361415213	11.013012364010603
4352738319	-14.917	13.567	-14.943194646730324	13.571589108661012	-14.990118243074605	13.576102964670058
4352742341	-15.649	11.957	-15.63423101641366	11.94695397986438	-15.601204193970426	11.977364803332602
4352743728	34.026	0.77	34.045932716975955	0.7661373586238307	34.11556120152129	0.7653577733359966
4352756229	-8.15	12.89	-8.159457987548544	12.890707089556948	-8.422823653517009	12.877022494988529
4352777794	21.017	4.283	21.017650997776315	4.2900763571093625	20.841206898375876	4.413389544766309
4352802468	-14.917	13.567	-14.93315454632016	13.5717250654493	-14.994995639675567	13.577362830908204
4352805029	34.026	0.77	34.04771026833063	0.7576677039027331	33.72422236030347	0.8292047919060016
4352813087	21.017	4.283	20.98794545852859	4.2806568176274205	20.00856567987348	4.41758354826874
4352814217	-1.5490000000000002	5.609	-1.5488543195208235	5.60746707367477	-1.6233318415719407	5.60479647538525
4352836594	35.299	-23.716	35.29979292460915	-23.7128307091945	34.409975786065864	-22.51151465167101
4352845356	35.299	-23.716	35.30923233525118	-23.7175656309413	35.46792848336675	-23.761331245000914
4352847895	-15.9	13.55	-15.916931149330104	13.555813589326569	-15.941375667790252	13.529107144213706
4352849082	-10.03	9.28	-10.011907592284995	9.261792002724636	-9.609855362218187	9.165933153941035
4352851706	29.701	-0.7509999999999999	29.715905472990848	-0.7517866466128087	26.528199489849413	0.2837546070057406
4352861873	-0.261	6.093999999999999	-0.2304832998505155	6.035262359054178	-0.4283567973048072	6.138040265129723
4352864223	-8.33	11.47	-8.429942052017214	11.713267373449945	-8.377697897130789	11.792480701815164
4352879107	-8.08	12.81	-8.092151107662158	12.831782964323288	-8.07025853999857	12.78727718338066
4352880685	13.558	4.341	13.552682594845924	4.343741787069334	13.563861329272683	4.367559089250505
4352890997	21.017	4.283	21.01976669252086	4.2877981745269365	20.12969293787842	4.575154563784513
4352901629	39.909	-3.511	39.93515241226433	-3.507760357364889	39.9712410771318	-3.5230874187012704
4352905767	29.701	-0.7509999999999999	29.70965952529979	-0.7577755431369297	29.726119323938022	-0.7611725141301846
4352910783	34.026	0.77	34.06696707467287	0.7573087779816499	32.886250449173055	0.6324745465643656
