	sampleID	x	y
256	4352736722	-4.472	11.233
257	4352738213	-8.15	12.89
258	4352739237	34.026	0.77
259	4352739978	35.299	-23.716
260	4352740353	38.948	-4.94
261	4352740570	14.442	5.747000000000001
262	4352740607	31.651	-1.962
263	4352741025	-0.261	6.093999999999999
264	4352741341	-9.53	8.48
265	4352742635	-8.15	12.89
266	4352744092	34.026	0.77
267	4352744305	38.948	-4.94
268	4352744343	35.299	-23.716
269	4352744868	34.026	0.77
270	4352745425	34.026	0.77
271	4352745749	13.302	-8.884
272	4352747077	-4.235	11.15
273	4352748513	-7.81	10.83
274	4352749259	39.909	-3.511
275	4352749956	-7.81	10.83
276	4352750402	14.442	5.747000000000001
277	4352750462	-4.472	11.233
278	4352753660	-10.03	9.28
279	4352754784	-4.235	11.15
280	4352756146	-15.582	11.890999999999998
281	4352757639	18.583	4.367
282	4352757994	13.302	-8.884
283	4352759145	-15.9	13.55
284	4352759928	-14.917	13.567
285	4352760607	-4.472	11.233
286	4352761196	-10.03	9.28
287	4352761555	35.299	-23.716
288	4352762482	-1.774	4.912
289	4352764959	18.583	4.367
290	4352764980	35.299	-23.716
291	4352765230	9.455	0.384
292	4352765244	13.594	9.438
293	4352765601	39.909	-3.511
294	4352766000	-4.235	11.15
295	4352766447	21.017	4.283
296	4352766501	-8.16	12.9
297	4352766756	-8.33	11.47
298	4352767720	11.515999999999998	3.972
299	4352769250	13.844	4.777
300	4352769707	-4.823	5.898
301	4352769710	9.455	0.384
302	4352770085	13.302	-8.884
303	4352770634	-14.917	13.567
304	4352770635	-14.917	13.567
305	4352771481	-15.9	13.55
306	4352771789	13.558	4.341
307	4352772661	13.844	4.777
308	4352773487	-4.535	11.235
309	4352774722	-8.33	11.47
310	4352774878	14.442	5.747000000000001
311	4352775317	-4.472	11.233
312	4352775386	13.844	4.777
313	4352778446	18.583	4.367
314	4352778700	13.844	4.777
315	4352779120	34.026	0.77
316	4352779987	-0.261	6.093999999999999
317	4352781374	9.455	0.384
318	4352782507	14.442	5.747000000000001
319	4352782605	-7.81	10.83
320	4352783049	-4.472	11.233
321	4352783050	-4.472	11.233
322	4352784877	18.583	4.367
323	4352787046	-1.774	4.912
324	4352787161	29.701	-0.7509999999999999
325	4352787507	-4.472	11.233
326	4352791232	38.948	-4.94
327	4352793920	-7.81	10.83
328	4352794626	21.017	4.283
329	4352798076	34.026	0.77
330	4352798335	21.017	4.283
331	4352798721	-16.033	13.417
332	4352798777	-5.9	13.21
333	4352799418	-0.2189999999999999	5.667999999999999
334	4352799786	14.442	5.747000000000001
335	4352799922	11.507	3.805
336	4352801976	-1.774	4.912
337	4352803931	-7.81	10.83
338	4352807882	18.583	4.367
339	4352808116	13.558	4.341
340	4352809009	-14.917	13.567
341	4352810468	34.026	0.77
342	4352810814	21.017	4.283
343	4352811263	8.7	3.7
344	4352814177	35.299	-23.716
345	4352814814	35.299	-23.716
346	4352815158	-0.2189999999999999	5.667999999999999
347	4352816747	13.558	4.341
348	4352816948	13.844	4.777
349	4352816984	-15.617	13.55
350	4352817420	-4.535	11.235
351	4352818083	-8.33	11.47
352	4352818254	31.651	-1.962
353	4352818302	-8.33	11.47
354	4352818965	-15.9	13.583
355	4352821448	29.701	-0.7509999999999999
356	4352821453	-4.235	11.15
357	4352821738	13.558	4.341
358	4352822447	-4.535	11.235
359	4352823389	21.017	4.283
360	4352823711	38.948	-4.94
361	4352824354	35.299	-23.716
362	4352824754	-4.535	11.235
363	4352825677	-14.917	13.567
364	4352826118	14.442	5.747000000000001
365	4352826974	-10.03	9.28
366	4352827612	12.629	6.468999999999999
